inlf,nwifeinc,educ,exper,expersq,age,kidslt6,kidsge6,hours
0,22.14999962,11,0,0,56,0,0,0
0,30.62299919,12,5,25,41,1,3,0
0,9.380000114,5,20,400,56,0,0,0
0,22,10,3,9,48,0,1,0
0,23.67499924,16,12,144,52,0,2,0
0,33.67100143,12,5,25,51,0,0,0
0,12.36699963,11,1,1,35,0,3,0
0,21.95000076,12,0,0,45,0,0,0
0,32,12,7,49,54,0,0,0
0,22.61000061,12,13,169,54,0,2,0
0,12.09200001,12,3,9,31,1,0,0
0,3.77699995,6,0,0,53,0,3,0
0,36,14,2,4,35,2,2,0
0,26.89999962,12,0,0,36,1,3,0
0,32.24200058,12,2,4,59,0,0,0
0,35.02000046,16,1,1,54,0,0,0
0,37.59999847,12,10,100,37,1,1,0
0,1.5,12,10,100,44,0,0,0
0,96,17,1,1,34,1,2,0
0,18.14999962,12,3,9,49,0,0,0
0,15.5,12,32,1024,49,0,0,0
0,14,9,0,0,60,0,0,0
0,14.75599957,12,7,49,51,0,0,0
0,22,12,5,25,30,1,1,0
0,24.4659996,12,2,4,47,0,2,0
0,24.39999962,12,5,25,36,0,4,0
0,24,12,3,9,35,1,3,0
0,15.5,12,25,625,58,0,0,0
0,30.79999924,14,0,0,41,1,3,0
0,10.65999985,10,3,9,51,0,1,0
0,13.35000038,12,10,100,47,0,0,0
0,10.09000015,9,10,100,45,1,2,0
0,55.59999847,14,7,49,60,0,0,0
0,25.70000076,16,5,25,30,1,1,0
0,29,11,15,225,55,0,0,0
0,7.285999775,12,1,1,32,1,2,0
0,37.7519989,12,5,25,36,0,2,0
0,13.07199955,12,9,81,55,0,0,0
0,7.044000149,12,18,324,47,0,0,0
0,18.20000076,12,1,1,47,0,1,0
0,27,11,0,0,37,0,1,0
0,30.29999924,12,6,36,50,0,2,0
0,12,12,1,1,30,0,3,0
0,31.5,17,2,4,48,0,1,0
0,27.09199905,10,15,225,43,0,2,0
0,20.96800041,11,25,625,48,1,0,0
0,27,14,1,1,41,1,2,0
0,11.22500038,12,0,0,50,0,0,0
0,37.70000076,8,0,0,58,0,0,0
0,28.20000076,13,0,0,38,0,5,0
0,34,12,8,64,37,0,1,0
0,63.20000076,16,22,484,50,0,0,0
0,7.5,8,5,25,42,0,4,0
0,17.40999985,9,10,100,37,1,3,0
0,51,16,1,1,41,0,2,0
0,12.91600037,12,1,1,31,0,2,0
0,21.89999962,12,6,36,51,0,0,0
0,17.63999939,12,4,16,36,1,2,0
0,20,15,6,36,54,0,0,0
0,15,12,0,0,49,0,0,0
0,14.06000042,9,1,1,48,1,1,0
0,15.82499981,9,3,9,42,0,2,0
0,16.51000023,12,15,225,41,1,2,0
0,13,16,33,1089,55,0,0,0
0,10,9,2,4,42,0,0,0
0,22,15,1,1,32,0,1,0
0,29.79999924,12,10,100,43,0,2,0
0,15,12,0,0,33,1,3,0
0,22.29999924,15,14,196,48,0,1,0
0,14.55000019,12,15,225,43,0,2,0
0,19.72999954,17,15,225,47,1,3,0
0,35,12,10,100,54,0,0,0
0,21.01399994,12,6,36,51,0,1,0
0,10.8760004,10,18,324,51,0,1,0
0,27.85000038,13,15,225,43,1,1,0
0,9.56000042,12,30,900,53,0,0,0
0,30.29999924,11,15,225,34,1,1,0
0,7.71999979,8,10,100,31,1,1,0
0,10.55000019,12,0,0,56,0,0,0
0,24.1060009,16,0,0,42,0,1,0
0,22.99500084,12,4,16,32,0,2,0
0,6,12,0,0,35,1,3,0
0,24.35000038,12,3,9,30,1,1,0
0,7.607999802,10,20,400,51,0,0,0
0,28.20000076,12,3,9,47,0,3,0
0,16.14999962,12,1,1,54,0,1,0
0,51.20000076,15,5,25,31,3,0,0
0,12.64599991,10,7,49,47,0,0,0
0,19,14,6,36,47,0,3,0
0,19,12,2,4,40,0,3,0
0,14.39999962,8,0,0,48,0,0,0
0,7.231999874,8,10,100,34,0,7,0
0,21.94300079,12,6,36,38,0,3,0
0,47.5,12,4,16,32,1,3,0
0,28.89999962,16,8,64,48,0,1,0
0,12.39999962,12,18,324,41,0,2,0
0,6.531000137,5,7,49,49,0,2,0
0,22.42200089,8,15,225,59,0,0,0
0,22.20000076,13,7,49,58,0,0,0
0,77,12,8,64,41,0,3,0
0,88,12,8,64,45,0,2,0
0,26.04000092,14,3,9,30,1,1,0
0,63.5,12,10,100,41,0,1,0
0,12.10000038,12,9,81,30,2,0,0
0,17.50499916,12,24,576,53,0,1,0
0,18,12,12,144,31,0,0,0
0,28.06900024,14,2,4,43,0,2,0
0,14,12,6,36,31,1,1,0
0,8.116999626,12,18,324,51,0,0,0
0,11.89500046,9,17,289,43,0,0,0
0,45.25,14,7,49,31,1,2,0
0,31.1060009,11,6,36,48,0,0,0
0,4,12,10,100,31,1,1,0
0,40.5,12,5,25,44,0,1,0
0,21.62000084,11,7,49,48,0,1,0
0,23.4260006,12,11,121,53,0,1,0
0,26,10,14,196,42,0,3,0
0,7.840000153,12,5,25,39,2,6,0
0,6.800000191,10,2,4,32,1,2,0
0,5.329999924,12,4,16,36,0,2,0
0,28.20000076,13,5,25,40,0,2,0
0,10,12,14,196,31,2,3,0
0,9.951999664,12,4,16,43,0,0,0
0,24.98399925,12,15,225,60,0,0,0
0,28.36300087,9,12,144,39,0,3,0
